Identifier	Supplier Name	Country
193091000189109	Ethinext Pharma		
1393161000189109	Joyce Healthcare Private Limited		
1381901000189108	Stable Pharmaceuticals Private Limited		
1614331000189108	Nexokinde Healthcare Private Limited		
15101000189108	Synokem Pharmaceuticals Limited	India	
131331000189103	Janssen Pharmaceuticals	India	
1592111000189100	Fast Cure Pharma		
87211000189109	Ikon Pharmachem Private Limited		
679261000189104	Nusmith Pharma Private Limited		
61821000189109	Salve Pharmaceuticals Private Limited		
24681000189103	Vista Health Care Private Limited		
1048891000189105	Serene Lifeworld Private Limited		
1107041000189107	Zeemat Pharmaceuticals Private Limited		
245191000189100	Mcneil and Argus Pharmaceuticals Limited		
1752331000189104	Scythian Healthcare		
42331000189101	Arakind Health Care Private Limited		
1147371000189106	SBP Biotech		
16351000189104	Zee Laboratories Limited	India	
1906101000189105	Pilco Pharma Private Limited		
1777761000189109	Mark Remedies Private Limited		
1096051000189101	Bendic Healthcare Private Limited		
1244191000189101	Synthiko Formulations & Pharma Private Limited		
1851011000189102	Aelivs Healthcare Private Limited		
1477721000189105	Millennial Pharmaceuticals Private Limited		
1900211000189104	Cipla Health Limited		
57311000189105	United Life Care Private Limited		
78161000189108	IDPL (Tamilnadu) Limited		
1533881000189102	Zorris Lifesciences		
297551000189104	Robin Pharmaceuticals Limited		
31901000189100	Sunrise Remedies Private Limited	India	
1010621000189100	Cassopeia Pharmaceuticals Private Limited		
1097001000189104	Olens Healthcare Private Limited		
1083451000189101	Globate Pharma	India	
1041481000189103	Cimera Skin Care		
1534361000189104	Brukem Life Care		
18561000189106	Zota Health Care Limited	India	
1023201000189108	Carol Remedies		
1540741000189107	Axiommax Oncology Private Limited		
1610341000189106	Monsut Chem Industries		
1081721000189101	Martyn Nikk Pharma Private Limited		
1494941000189102	Sunaxa Pharma		
1119421000189101	Cadman Healthcare		
99161000189105	Konark Lifesciences Private Limited		
58521000189109	Parenteral Drugs (India) Limited	India	
66941000189100	Gary Pharmaceuticals Private Limited	India	
116841000189100	Healthkind Labs Private Limited		
1028911000189106	Integrace Private Limited	India	
216601000189104	El-Dorado Biotech Private Limited	India	
1118111000189106	Cyper Pharma Limited		
33241000189106	Shrrishti Healthcare Products India Private Limited	India	
42611000189102	Scott Edil Pharmacia Limited	India	
1086891000189100	Amvia Biotech		
31711000189100	Talent India Private Limited	India	
1150891000189100	Bini Laboratories Private Limited		
1229151000189109	Corneal Care Life Sciences		
154051000189106	Swati Spentose Private Limited		
1101561000189106	Duken Pharmaceuticals		
1473891000189105	Zeytin Pharma Private Limited		
779331000189109	View Laboratories		
1100901000189107	KLM Laboratories Private Limited	India	
1409471000189100	Ethilexhealth Care Guj Limited		
200091000189101	Pollen Healthcure Private Limited	India	
322321000189103	Standard Remedies Private Limited	India	
1040591000189106	Grefith Life Sciences Private Limited		
1138251000189108	Rexer Pharma Private Limited		
1710611000189106	Crescent Therapeutics Limited		
32351000189106	Sterkem Pharma Private Limited	Not Available	
1748071000189100	Biostem Pharma Private Limited		
1532091000189103	Magpie Labs Private Limited		
1479421000189107	Zoecia Healthcare		
1005181000189102	Metamorf Lifesciences		
1474861000189104	Kruger Nutra Med Private Limited		
1247031000189109	Bioderma Solutions		
1451961000189106	Bioceutics Inc		
1008911000189104	Medizen Therapeutic Industries		
1473791000189100	Spica Lab		
52471000189109	Aagam Life Sciences Private Limited	India	
1215451000189107	Glenvox Biotech		
1085711000189106	Modi Pharma Private Limited		
1782051000189104	Zurinovo Healthcare Private Limited	India	
1025261000189106	Elcure Pharmaceuticals	India	
1710571000189100	Darmaan Pharma Llp		
1714091000189100	Snig Pharma Private Limited	India	
231731000189104	Concord Biotech Limited	Not Available	
12181000189108	Race Pharmaceuticals Private Limited		
15211000189100	Alembic Pharmaceuticals Limited		
1611011000189104	Shree Krishnakeshav Laboratories Limited		
1149331000189103	Flora & Pharma		
1049031000189105	Agresco Pharma Private Limited		
1064691000189107	Synnove Pharmaceuticals Private Limited		
194891000189100	MNC Healthcare Private Limited		
209491000189102	Nitin Pharmaceuticals Private Limited		
1067201000189107	Gnova Biotech Private Limited		
1478871000189101	Entrust Healthcare Private Limited		
1203851000189107	Argil Life Sciences		
1476281000189102	Dr DeFelice Health Care		
8681000189101	Wiscon Pharmaceuticals Private Limited		
1173901000189105	Curasia Medilabs		
1224421000189108	Sentonssa Wellness Private Limited		
1902881000189106	Camrut Pharma		
22601000189102	Avinash Health Products Private Limited	India	
98321000189108	Getwell Pharmaceuicals Private Limited		
1066331000189105	Ridley Life Science Private Limited	India	
62101000189100	Sanjivini Biotech Private Limited		
148731000189109	Quality Pharma Products Private Limited		
218641000189100	Midas Biotek Private Limited		
1317361000189100	Ocuris Pharmaceuticals Private Limited		
1063231000189106	Sohm India Private Limited		
1778001000189109	Skymap Pharmaceuticals Private Limited		
126971000189105	Bogs (India) Private Limited		
1424571000189107	Kinedex Healthcare Private Limited		
1053751000189104	Mccoy Biotech		
1683571000189101	Rowez Life Sciences Private Limited	India	
1613101000189104	Lezivia Life Sciences		
1496041000189107	Pidolma Healthcare Private Limited		
1056131000189103	Bio-Zenesis Healthcare		
1075331000189108	Bio Swizz Pharmaceuticals		
1084801000189102	Bluewaterresearch		
1130991000189109	Ryon Pharma	India	
97691000189104	Hygro Chemicals Pharmtek Private Limited		
41041000189100	Corona Remedies Private Limited		
61851000189102	Bio Warriors Pharmaceuticals Private Limited	India	
1183791000189106	3C Health Solution Private Limited		
1134601000189104	Riyadh Pharmaceutical		
1847071000189102	Glue Biotech		
1091591000189105	Maniph Life Sciences		
1158141000189102	Medil Healthcare		
1146991000189107	Dermakare Pharmaceuticals Private Limited		
1136161000189101	Labcorp India Private Limited		
16941000189101	Welkind Pharma		
1129881000189106	Kritikos Care		
200691000189107	Medilente Pharma Private Limited		
143851000189103	Ester Formulations		
1255451000189101	Medinova Labs		
1455731000189104	Pharmagic Lifesciences Private Limited		
1061301000189105	Benedic Pharmaceutical Private Limited		
1099011000189105	Impileo Lifescience Private Limited		
98441000189107	Malar Healthcare Limited		
1453771000189101	Merlyn Biotech		
1022471000189108	Maxcare Lifesciences		
1017981000189106	Surakhsha Pharma		
1837111000189106	Opsiscare Lifesciences Private Limited	India	
1709381000189104	Vilin Bio Med Limited		
1121741000189106	Lacqure Healthcare		
1324151000189103	Saimark Biotech Private Limited		
13501000189103	Oyster Labs Limited	India	
1245711000189107	Kriti Lifesciences		
1238361000189102	Iva Healthcare Private Limited		
1105841000189106	Anoco Pharmaceuticals India Private Limited		
1255881000189107	Cognitive Life Sciences Private Limited	India	
1103451000189108	Biociss Healthcare		
1018841000189106	Renova Healthcare		
1071571000189103	Winsmed Pharmaceuticals Private Limited		
1169051000189103	Abony Healthcare Limited		
1115581000189101	Kathkin Lifesciences Private Limited		
1379801000189106	Leben Life Sciences Private Limited	India	
1030511000189101	Assure Pharma		
1249431000189109	Jrb Lifesciences Private Limited		
1215291000189103	Args India Pharma Private Limited		
40851000189100	Aknil Biotech		
1450611000189108	Concord Medipharma Private Limited	India	
1480061000189109	Rudolf Basins Inc		
1015901000189109	Amwin Pharma Private Limited		
1124151000189106	Anvicure Drugs Private Limited		
179851000189102	Infugen Pharma Private Limited	India	
20551000189101	Aero-Chem Neutron Private Limited		
1011741000189108	Evans Pharmaceuticals Private Limited		
196881000189109	Meyer Organics Private Limited	India	
1256461000189105	Astra Idl Limited	Not Available	
226131000189108	Mount Mettur Pharmaceuticals Limited		
1456891000189103	Werke Healthcare		
1194591000189102	Adonis Healthcare		
1476101000189103	Jupiter Biolabs Private Limited		
1116571000189106	Desun Pharmaceuticals		
383381000189101	Tripada Healthcare Private Limited	India	
1097221000189103	Knox Life Sciences Private Limited		
1234351000189107	Adon Pharmaceuticals Private Limited		
1163421000189100	Kosmed Formulations		
26731000189102	Sigmund Promedica	India	
1007601000189108	Nexure Lifesciences Private Limited		
55031000189106	Pharmatech Healthcare		
1186961000189105	MK Healthcare		
11481000189108	Sapient Laboratories Private Limited	India	
1035161000189100	Salvus Pharma		
1232521000189104	A V Molecules Private Limited		
1587891000189104	Apex Diagnostic Imaging Private Limited		
1590441000189109	Elicad Pharmaceuticals Private Limited		
1026811000189103	Pacific Meditech Private Limited		
1532201000189102	Astech Pharma Private Limited		
181901000189101	Lyra Lab Private Limited		
1076591000189108	Allies Pharma		
1496861000189104	Prekem Pharmaceuticals Private Limited		
93241000189104	CMG Biotech Private Limited		
249231000189108	Hindustan Latex Lifecare (HLL) Limited	India	
1814051000189108	Zareenova Pharma		
23301000189102	Altar Health Care Private Limited		
137501000189106	Assail Biotech		
50161000189109	Premier Nutraceuticals Private Limited		
1235781000189102	Aelida Healthcare		
1611021000189107	Recipharm Pharmaservices Private Limited		
17421000189103	Greenlab Healthcare Private Limited		
1141901000189108	Pinnacle Medicare Private Limited		
46281000189107	Econ Healthcare Private Limited	India	
1655711000189107	Stalwart Lifesciences Private Limited		
13061000189105	Wonder Healthcare Solutions India Private Limited		
1027301000189107	Mebio Labs Private Limited	India	
1069451000189101	Fine Kind Drugs & Pharmaceuticals	India	
1042591000189105	Modern Laboratories Private Limited	India	
1710461000189105	Celaxis Biotech		
1876081000189101	Advira Technomanagement Private Limited		
1651031000189103	Meethi Pharmaceuticals		
1213451000189108	Nanocea Biotec		
1809601000189104	Alienist Pharmaceutical Private Limited		
1474621000189108	Kreios Laboratories Private Limited		
1535841000189106	Orris Pharmaceuticals Private Limited	India	
42301000189109	Pharmacon Gignos		
1847881000189108	Medgen Drugs And Laboratories Private Limited		
1616071000189103	Trillest Health Care		
1107361000189106	Sp Pharmaceuticals		
48171000189100	Radicura Pharmaceuticals Private Limited		
1093751000189108	Zither Pharmaceutical Private Limited		
1257981000189107	Crescent Therapeutics Private Limited	India	
1586841000189109	Medon Pharmaceuticals Private Limited		
1533791000189105	Darwin Health Care		
1198631000189108	Mac Remedies Private Limited		
1495181000189106	Aleixo Pharma		
1024121000189106	Reltic Labs		
1712391000189109	Oxirich Healthcare Private Limited		
101531000189104	Solvay Pharma India Limited		
1477381000189105	Lichem Pharmaceuticals		
1755281000189102	Greek Pharma Private Limited		
65671000189109	Dynamic Laboratories Private Limited		
1874261000189107	Ruan Life Sciences Private Limited		
1058701000189106	Mahaja Pharma Care Private Limited		
1317391000189108	Safe U Pharmaceuticals	India	
1042331000189104	Dhamus Pharma	India	
1000901000189103	Cospex Pharmaceuticals Private Limited		
1123871000189106	Sunrest Lifescience Private Limited		
1638191000189109	Abseil Pharmaceuticals Private Limited		
70031000189103	Biocin Healthcare Private Limited		
1681471000189103	Subira Pharmaceuticals Private Limited		
1009831000189107	South India Research Institute Private Limited		
1381621000189108	Woakes Pharma		
1184711000189103	Essential Life Sciences Private Limited		
1253521000189108	Redosine Pharmaceutical Private Limited		
1218921000189103	Ronish Bioceuticals	India	
1201951000189101	L K Medicare		
1122401000189107	Gladstone Pharma India Private Limited	India	
1069941000189108	Ariane Biotech		
8581000189102	FDC Limited	India	
275801000189103	Isis Pharmaceuticals Private Limited	India	
9431000189105	Alpic Biotech Limited		
1219971000189106	Starry Biotech		
1809231000189109	Chinar Therapeutics Private Limited	India	
222521000189102	Vintage Labs Private Limited	India	
49011000189102	Divine Life Care Private Limited	India	
56051000189108	Caliber Pharmaceuticals Private Limited		
358861000189103	CGN Lifesciences Private Limited		
1060141000189104	Perron Pharmaceuticals Private Limited		
1182551000189104	Vavisto Biotech		
26971000189102	Adcock Ingram Healthcare Private Limited	India	
1207201000189101	Croise Pharma Private Limited	Not Available	
1254911000189108	Cadomed Pharmaceuticals India Private Limited		
1145111000189109	Macwell Pharmaceuticals		
1854141000189102	Gynavista		
1197141000189105	Aishika Pharma Private Limited		
1259151000189105	Sanbury Healthcare		
1779411000189105	Alonsoa Lifesciences		
1454691000189108	Parnasa Mediworld Private Limited	India	
1085381000189103	Allenchem		
1095411000189100	G-Nine Formulations Private Limited		
1255281000189108	Lee Pharma Limited		
1251351000189108	Phaedrus Life Science Private Limited		
1425741000189109	Hilton Hyman Healthcare	India	
19241000189101	Shinto Biotec Limited		
1851231000189101	Wellgo Pharmaceuticals		
832851000189104	Tirupati Medicare Limited	India	
56391000189101	Litaka Pharmaceuticals Limited	India	
1878881000189108	Berry & Herbs Pharma Private Limited	India	
1535571000189100	Vvyeth Pharmaceauticals Private Limited		
1048991000189102	Stenroz Biotech		
1839011000189102	Gurmail Brothers		
370031000189100	Ce Biotec Private Limited		
150571000189101	Grifols India Healthcare Private Limited		
55241000189106	Japshi Chem Pharmaceuticals		
1194131000189105	Dr Arvind Lifesciences		
1455781000189100	Bioss Healthcare	India	
9981000189103	Rouzel Pharma Private Limited		
44801000189106	Staunch Health Care Private Limited		
55491000189103	Biosync Pharmaceuticals Private Limited		
1182881000189109	BAMPS Health Care		
11281000189107	Triton Health Care Private Limited	India	
1119791000189105	Beatus Healthcare Private Limited		
1456911000189100	Mother Remedies		
1532081000189100	Uniza Healthcare Llp		
1137701000189101	Medivolks Pharma		
1097981000189107	Rhydburg Pharmaceuticals Limited		
29961000189104	United Biotech Private Limited	India	
1348711000189105	Cardeon Formulations Private Limited		
1474171000189100	Mitis Biomedics Limited		
106381000189102	Mint Life Sciences Private Limited		
1754861000189108	Indoscot Healthcare LLP		
1213891000189100	Dakshinamurti Pharma Private Limited	India	
319621000189105	Rhumasafe Pharmaceutical		
73391000189107	Bliss Gvs Pharma Limited	India	
85411000189103	Encore Pharmaceuticals Inc		
32191000189104	Veliko Pharmacls		
1476811000189107	Alester Pharma Private Limited		
235311000189107	Windlas Biotech Private Limited		
1850591000189109	ABN Drugs		
1119451000189108	Colours Life Sciences		
1347641000189100	Caldern Pharmaceuticals Limited		
1224131000189104	Pharmacia India Private Limited		
63751000189108	Kinesis Pharmaceuticals Private Limited		
73531000189101	Blossoms Biologicals		
771471000189102	Vestas Life Science		
1539031000189108	Alba Healthcare Private Limited		
53971000189105	Medihealth Lifesciences (India) Private Limited		
1196231000189106	In Med Therapeutics		
34181000189107	Haledew Remedies		
290521000189105	Primus Pharmaceuticals Private Limited		
15021000189101	Sozin Flora Pharma Llp		
1028331000189100	Ecstasy Healthcare Private Limited		
1540371000189100	Nirvana Healthcare		
1906511000189104	Alco Formulation India		
138041000189104	RSM Kilitch Pharma Private Limited		
138631000189101	Hands Pharmaceuticals		
675301000189109	Tribhawan Injectables		
1451421000189105	Zeus Drugs Limited		
1038371000189101	Healers Lab	India	
1247241000189109	Nelson Pharma		
53071000189109	Pharma Plus (India) Private Limited		
1209141000189103	Duramed Lifesciences Private Limited		
1183051000189103	Klintoz Pharmaceuticals Private Limited		
1094401000189103	Condor Healthcare Private Limited		
1193951000189100	Biocell Pharmaceuticals Private Limited		
1538861000189100	Ethicare Pharmaceuticals Private Limited		
1399481000189105	Transcend Therapeutics Private Limited	India	
1022641000189102	Nexkem Pharmaceuticals Private Limited	India	
1172791000189109	Ultra Chiron Pharmaceuticals Private Limited		
1080151000189104	Saimed Formulations		
1163541000189108	Medisync Pharma		
997751000189107	Rezichem Health Care Private Limited		
1195051000189103	Pluzine Healthcare		
1219561000189107	Unix Health Care		
1476031000189107	Jointcare Pharmaceuticals Private Limited		
1854441000189108	Blisson Medica Private Limited		
1902621000189109	Gelmek Healthcare Private Limited		
1186691000189109	Saksham Pharmaceuticals India Limited		
13211000189104	RPG Life Sciences Limited		
1098881000189102	Dr D. Pharma		
1257651000189107	Adrena Healthcare Private Limited		
1849841000189107	Modern Medisciences Private Limited	India	
1043961000189102	Kris Pharma		
1749471000189104	Alvid Biocare Llp		
1047691000189108	Maxamus International		
1783121000189104	Garwyn Remedies		
1531991000189109	Unifab Pharmaceuticals Private Limited		
1748911000189106	Paras impex	India	
1491281000189100	Medrhans Pharmaceuticals Private Limited		
1146551000189106	Maksun Biotech Private Limited	India	
1047611000189102	Sag Health Science Private Limited	India	
1475981000189100	Arkas Pharma Private Limited	India	
1178001000189104	Waves Bio-tech Private Limited	India	
1255991000189101	Velonik Lifesciences Private Limited		
1852031000189104	Walter Bushnell Pharmaceuticals Private Limited		
1749861000189105	Apple Bio Medics Limited		
58551000189102	MITS Healthcare Private Limited		
42971000189100	Rowan Bioceuticals Private Limited	India	
1207011000189108	Ridgecure Pharma		
1046461000189100	Medifit Pharmaceuticals		
1838131000189102	Sanfegan Biotech Private Limited		
1004231000189107	SandMartin Pharmaceuticals Private Limited	India	
1246201000189109	Laven Pharma India Private Limited		
1749791000189107	Allenchem Pharma Private Limited		
1046411000189102	Aingo Pharma Private Limited		
1656721000189108	Lebon Pharmaceuticals		
295791000189108	Quzen Biotek		
1514341000189109	Medishri Healthcare Private Limited	India	
158331000189106	Apco Pharma Limited		
1084511000189103	Erma Life Sciences		
1256331000189107	Wens Pharma Private Limited		
1194841000189107	Saturn Formulations Private Limited		
1413881000189101	APP Pharmaceuticals	India	
1711471000189107	Virtue Remedies		
168071000189104	Otsira Genetica		
1021741000189104	Enivid Life Sciences		
15051000189108	Systacare Remedies		
51511000189105	Auspi Medicaments		
1163951000189102	Riasmo Lifesciences		
103831000189101	Yacca Pharmaceuticals Private Limited		
1476371000189106	Greeniche Healthcare		
23161000189100	Vencare Formulations Private Limited		
1017311000189103	Hecure Health Care Private Limited		
1105561000189109	Jay Ell Healthcare Private Limited		
1111681000189102	Abbott India Limited	India	
1776561000189103	Lakssha Pharmaceuticals		
1033461000189109	Kaytross Healthcare Limited		
1811011000189106	Dales Laboratories Private Limited		
1129001000189105	Biocordis Pharmaceuticals Private Limited		
1005191000189100	Mahendra Labs Private Limited		
1849801000189109	Mecartus Health Care Private Limited		
38571000189107	Angeas Health Care Limited		
1145501000189103	Arrient Healthcare Private Limited	India	
1512231000189104	Athena Medicare		
1082931000189106	Ascend Laboratories		
1874171000189107	Nephurocare Pharma Private Limited		
369051000189106	Solus Healthcare		
1170361000189104	Dermarex Health Care India Private Limited		
1143141000189109	Amista Labs Private Limited		
1072391000189102	Greenray Pharmaceutical Private Limited		
1588151000189104	Curewin Pharmaceuticals Private Limited		
72911000189106	Lemery Pharma		
1118331000189103	Nutramedica Incorporation		
271451000189102	Procure Medica		
1024461000189109	Oriel Healthcare Private Limited		
1109001000189100	Oaknet Healthcare Private Limited	India	
1901871000189103	Nectazen Pharmaceuticals	India	
78981000189100	Msd Pharmaceuticals Private Limited	Not Available	
1156121000189105	Talin Remedies		
1212721000189103	Meracus Pharmaceuticals Private Limited	India	
1081681000189105	Biocorp Life Sciences Private Limited		
999141000189101	Dawson Healthcare Private Limited		
1567781000189109	Ranmarc Labs Private Limited	India	
1012171000189109	Hope Life Sciences		
1150961000189100	Blair Remedies Private Limited		
1165681000189101	Insinius Pharmaceuticals		
78911000189109	McW Healthcare Private Limited	India	
1695911000189102	Medicamen Life Sciences Private Limited	India	
1615251000189105	Kavita Pharma Chem		
1006371000189106	Albatross Healthcare Private Limited	India	
49381000189108	Precia Pharma Private Limited	India	
1904791000189106	Decipher Labs Limited		
1055221000189100	Gmh Laboratories		
373971000189109	Pagoda Pharmaceuticals		
1512951000189102	Encube Ethicals Private Limited		
192551000189100	Kind'S Pharmaceuticals Private Limited		
1018011000189100	General Pharmaceuticals Private Limited		
27751000189109	Skymax Laboratories Private Limited		
31611000189108	Silver Biotech		
1638131000189108	Sunvet Pharma Private Limited		
678421000189101	Luziac Life Sciences		
1437811000189107	Hicare Pharma		
1012671000189102	B.B. Remedies Private Limited		
1780101000189103	Metlar Formulations		
1010871000189100	Vinson pharma		
58361000189108	Mars Remedies Private Limited		
1082821000189102	Serbia Molecules Private Limited		
1614621000189104	Cardicure Pharmaceutical Private Limited		
1476241000189107	Exsan Healthcare		
1474071000189104	Zargan Healthcare		
1100731000189102	Segos Biocare		
1713251000189101	Vesnik Molecules		
1135741000189105	Lyra Laboratories Private Limited		
1408111000189109	Lyceum Life Sciences Private Limited	India	
1116001000189109	Sevam Healthcare		
1057101000189109	Cee Bee Laboratories		
1152521000189101	Moral Pharmaceuticals Private Limited		
1714241000189101	Aver Pharmaceuticals Private Limited	India	
1110741000189106	Nascent Medicare Private Limited		
1056231000189108	Sinsan Pharmaceuticals Private Limited	India	
1636551000189109	Mexato Pharmaceuticals Private Limited	India	
1479131000189103	Synovion Laboratories Private Limited		
36261000189102	Amrit Remedies Private Limited		
1017811000189106	Adesan Pharma		
1046101000189109	Hublore Healthcare Private Limited		
9621000189105	Alpha Aromatic Private Limited		
1098781000189108	Magma Allianz Laboratories Limited		
1217321000189101	Sois Formulations Private Limited		
1196711000189107	Numark Limited		
1120831000189100	Abiba Pharmacia Private Limited		
1251251000189103	Percos India Private Limited	India	
1200401000189101	Wynclark Pharmaceuticals Private Limited		
48821000189109	Ozone Pharmaceuticals Limited	India	
1473801000189101	Aquascot Healthcare Private Limited		
1590651000189105	Aegisco Remedies Private Limited		
1259741000189108	Franco Indian Remedies Private Limited		
1777371000189101	Candle Pharmaceuticals Llp		
76591000189105	Nodysis Pharma Private Limited	India	
1144651000189104	Rockmed Pharma Private Limited	India	
1166061000189109	Kapeetus Medicorp		
1003831000189109	Devoir Lifesciences Private Limited		
1807991000189107	Wolver Biotec Private Limited	India	
1021051000189103	Metiers Pharmaceuticals Private Limited		
9181000189100	Vhb Life Sciences Limited	India	
1094351000189106	Harison Remedies		
51531000189100	Winsome Laboratories Limited		
1475991000189103	Eysys Pharmaceutical Private Limited		
1777181000189102	Arvincare Pharma Private Limited		
999941000189103	Scutage Pharmaceuticals		
1025991000189107	Avita Laboratories Private Limited		
1154091000189101	Hindustan Pharma		
1256661000189108	Manserve Pharma		
11671000189108	Raptakos Brett and Company Limited	India	
1206671000189106	Sals Limited		
1879481000189104	Impegno Pharma Private Limited		
1756521000189106	Little Greave Pharmaceutical Private Limited		
1017691000189101	Destin Laboratories Private Limited		
1657061000189102	Tamman Titoe Pharma Private Limited		
1807171000189106	Obat Medicare Private Limited	India	
1609131000189106	Guardian Healthcare Services Private Limited		
17391000189106	Taurus Laboratories Private Limited		
11451000189100	Cure Quick Pharmaceuticals Private Limited	India	
1430041000189102	Wizad Biotech Private Limited	India	
1111461000189105	Astrantia Remedies Private Limited		
1121901000189105	Gemith Pharma Private Limited		
1748331000189100	Servo Healthcare Solutions Private Limited		
1181321000189108	Medix Laboratories (India) Private Limited		
1132081000189107	Bioclix Remedies		
323661000189108	Stedman Pharmaceuticals Private Limited		
20071000189100	Pficus De Med Private Limited	India	
360701000189100	Simandar Healthcare		
1476661000189105	Gautam Pharma		
1066131000189107	Healthkind Pharma Private Limited		
1651611000189102	Cytochrome Life Sciences Private Limited		
1174021000189102	Torgem Pharmaceutical Private Limited		
1168611000189100	Zadine Rumbs Limited		
1019101000189108	Spencure Biotech Private Limited		
1090121000189105	Metrix Healthcare Private Limited	India	
273891000189106	Bayu Healthcare Private Limited		
14481000189106	Rapross Pharmaceuticals Private Limited	India	
1695721000189107	Docheal Pharma Private Limited		
1847651000189104	Overseas Pharma Private Limited		
1120091000189106	Sarcoma Remedies Private Limited		
1067221000189101	A.N.Pharmacia Laboratories Private Limited	India	
111411000189108	Bionova Lifesciences Private Limited		
1382481000189103	Genozed Formulations	India	
51821000189100	Worth Medicines India Private Limited	India	
1779251000189105	Biotavia Labs Private Limited		
1246471000189103	Endurance Healthcare Private Limited		
1225541000189104	Panchpedh Pharma Private Limited		
1747091000189100	Laurus Labs Limited		
1850081000189101	Nihaka Lifesciences		
1207231000189109	Auztus Laboratories Private Limited		
191621000189102	Kare Health Specialities Private Limited		
1074561000189109	Tescos Life Care Private Limited		
1494991000189109	Essential Pharmaceuticals	India	
1093211000189103	Nectar Pharmaceuticals Private Limited	Not Available	
1511021000189104	Evok Lifesciences Private Limited	India	
1040851000189103	Universal Medikit Private Limited		
1654501000189101	Horizon Therapeuticals		
913041000189101	ELIS Pharmaceuticals India Private Limited		
1017871000189104	Uko Pharmatech Private Limited		
1192541000189103	Frankfurt Pharmaceuticals Private Limited		
1814041000189105	Clover Health Care Pharma	India	
9001000189106	Celon Laboratories Private Limited	India	
51141000189101	Sunways (India) Private Limited	India	
1075851000189105	Cosmederma Remedies		
1344461000189105	Porsche Pharmaceuticals		
1754971000189109	Ng Healthcare Private Limited		
1837541000189102	Raptam Healthcare Private Limited		
40991000189102	Colinz Laboratories Limited	India	
1591771000189103	Macro Pharmaceuticals		
1004021000189103	Dana Pharmaceuticals Private Limited		
1115541000189106	Sanofi Healthcare India Private Limited		
880081000189109	Magnum Laboratories Private Limited		
1782301000189102	Vexilla Healthcare		
924251000189101	Clanthis Lifesciences Private Limited		
35011000189100	Athens Labs Limited		
1003321000189104	Aletron Pharmaceuticals		
1175681000189107	Aprica Pharmaceuticals Private Limited	India	
1074691000189100	Shamsri Pharma Private Limited		
126841000189108	Maitri Health Care Private Limited		
1226301000189103	Psychocare Health Private Limited		
1073461000189107	Fidalgo Laboratories Private Limited		
1094201000189102	Vigilant Life Sciences Private Limited		
1035881000189104	Suncure Lifescience Private Limited	India	
56831000189109	Dew Drops Laboratories Private Limited	India	
1013161000189109	Indusken Pharmaceuticals Private Limited		
1009981000189102	Magnum Pharmaceuticals		
9591000189107	BMW Pharmaco India Private Limited	India	
1060551000189107	Genetic Pharmaceuticals Private Limited		
782861000189105	RKM Healthcare Private Limited	India	
1589941000189108	Diasha Life Sciences Private Limited		
78231000189106	SAC Pharmaceuticals	India	
1637301000189104	RB Remedies Private Limited		
1153751000189106	Verrmont Healthcare Private Limited	India	
1654301000189107	Neucure Lifesciences Private Limited		
55871000189104	Bayberry Pharmaceuticals Private Limited		
1004071000189104	Lamicon Pharma Private Limited		
1570781000189101	Empiai Pharmaceuticals Private Limited		
71551000189106	Rusan Pharma Limited	India	
1142741000189101	Veewin Healthcare Private Limited		
185711000189104	Innovcare Lifesciences Private Limited		
9271000189106	Comed Chemicals Limited	India	
1513051000189107	Aarux Pharmaceuticals Private Limited		
104951000189101	Reckitt Benckiser (India) Limited		
1008391000189106	Advance Revive		
67021000189105	Rezicure Pharmaceuticals		
1183781000189109	Bio Sars Pharma Private Limited		
218031000189102	Advik Laboratories Limited		
1148691000189101	Pangea Pharma Limited		
1139421000189109	Levent Biotech Private Limited		
84241000189102	Balsons Pharmaceuticals (Best Cure Pharma)		
1017391000189109	Katg Therapeutics Private Limited		
1479401000189101	Hamswell Lifecare	Afghanistan	
1694991000189107	Balsons Pharmaceuticals		
1904911000189103	Cyptus Healthcare Private Limited		
1246111000189101	Paripurna Healthcare		
1011341000189109	Raptam Healthcare	India	
1185531000189103	Glarizonto Pharma Private Limited		
15941000189109	Osmed Formulations Private Limited		
1114631000189103	Sansill Drugs Private Limited		
1315801000189103	Pristine Pearl Pharma Private Limited		
1007531000189101	Astec Lifesciences Limited		
1589201000189101	Wellona Pharmaceutical Private Limited		
1435411000189100	Somatico Pharmacal Private Limited		
1218311000189105	Mbp Pharmaceuticals Private Limited		
55851000189105	Azilliane Healthcare		
1814681000189107	Alson Pharma Private Limited		
1652671000189100	Leogenic Healthcare Private Limited		
37081000189102	Sarabhai Chemicals (india) Private Limited		
867551000189107	Raddison Healthcare Private Limited		
1011851000189101	Siskan Pharma		
1132561000189107	Alliance Remedies Private Limited		
1152201000189109	Edinburgh Pharmaceuticals		
1243991000189102	Jamjoom Pharma	Not Available	
1042551000189100	Saffron Medicare Private Limited		
1093131000189103	Oddiant Formulations	India	
12851000189109	Elder Pharmaceuticals Limited	India	
1133241000189101	Sure Healthcare Private Limited		
1149491000189108	Swiss Biotech		
1065081000189102	Aps Biotech Private Limited		
1212391000189101	Pharos Pharmaceuticals		
1170101000189100	Tavis Lifecare		
1571211000189109	Pride Pharma		
1453201000189104	Blue Chem Lifesciences		
1089491000189109	Nigella Biotech		
1172261000189106	Vision Biolife Private Limited		
1810681000189100	Zuvius Lifesciences Private Limited		
